3603 91
1773 87
62 32
2706 45
71 22
2523 56
3662 70
186 44
628 35
2629 50
1367 65
3646 32
2613 67
1308 7
521 32
545 1
1913 23
2780 55
970 31
1470 67
3499 92
3142 26
17 96
417 65
1324 33
2501 85
734 95
1733 2
2981 71
2184 78
582 24
828 15
1910 3
2594 81
360 71
3501 7
3508 58
2211 37
747 49
784 90
320 9
1148 13
296 40
992 33
1555 40
3342 97
162 71
3022 41
3015 60
611 33
2066 59
2994 19
1904 19
147 46
3015 68
2333 75
2269 12
2314 84
2076 33
1009 62
2859 79
600 73
2604 17
1989 47
816 24
3362 94
2466 99
2372 49
1868 74
2847 86
1777 3
1539 2
1397 6
44 20
2959 17
1084 64
3042 4
2201 90
1611 96
1011 79
650 49
1322 16
2172 9
1426 96
1472 34
2626 78
1157 1
1828 30
721 19
461 51
280 96
3608 42
2629 92
211 65
2654 79
1537 37
3398 74
754 37
3260 40
3694 53
