2476 13
2066 62
2654 42
3514 2
3052 58
693 90
2099 7
2264 32
351 31
2204 48
2838 81
707 30
331 87
643 52
3673 93
2590 81
3691 87
2434 68
3458 9
2919 12
1367 77
2884 75
2652 32
312 25
2867 97
787 46
160 13
3650 51
1163 7
3378 7
508 34
1740 30
2345 68
1793 37
1777 18
155 30
860 64
1949 93
996 60
2398 60
3133 93
948 85
564 37
2441 13
3008 99
837 44
207 52
1292 35
3454 52
2383 29
560 70
1165 54
3648 99
2220 65
106 83
1990 86
2012 2
982 62
1940 66
1766 49
1866 28
96 17
830 4
612 75
3088 7
1281 1
1046 26
1374 14
2833 23
672 46
2751 33
3154 24
1316 34
1040 55
1637 2
2989 97
289 82
3571 53
590 81
3012 13
3531 46
1499 76
3120 75
1522 56
866 63
2902 59
3560 42
2431 67
535 52
1146 62
1848 69
3271 54
2200 100
1726 62
3452 52
3521 21
2523 30
2281 48
2706 46
825 67
